,0
0,BRB - BANCO DE BRASILIA S.A.
1,BANCO RABOBANK INTERNATIONAL BRASIL S.A.
2,BANCO BTG PACTUAL S.A.
3,BANCO CITIBANK S.A.
4,BANCO ANDBANK (BRASIL) S.A.
5,ITAÚ UNIBANCO S.A.
6,BANCO BRADESCO S.A.
7,BANCO SANTANDER (BRASIL) S.A.
8,BANCO BMG S.A.
9,BANCO C6 CONSIGNADO S.A.
10,BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.
11,BANCO SAFRA S.A.
12,BANCO WOORI BANK DO BRASIL S.A.
13,BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO
14,BANCO DO NORDESTE DO BRASIL S.A.
15,BANCO PAN S.A.
16,BANCO J. SAFRA S.A.
17,BANCO SOCIETE GENERALE BRASIL S.A.
18,BANCO BRADESCO BBI S.A.
19,OURIBANK S.A. BANCO MÚLTIPLO
20,DAYCOVAL LEASING - BANCO MÚLTIPLO S.A.
21,BANCO MUFG BRASIL S.A.
22,BANCO DA CHINA BRASIL S.A.
23,BANCO TRICURY S.A.
24,BANCO DAYCOVAL S.A.
25,BANCO SUMITOMO MITSUI BRASILEIRO S.A.
26,BANCO C6 S.A.
27,BANCO SOFISA S.A.
28,OMNI BANCO S.A.
29,BANCOSEGURO S.A.
30,SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO
31,BANCO PAULISTA S.A.
32,BANCO ABC BRASIL S.A.
33,BANCO IBM S.A.
34,BANCO DIGIMAIS S.A.
35,BANCO RODOBENS S.A.
36,BANCO GM S.A.
37,HIPERCARD BANCO MÚLTIPLO S.A.
38,BANCO ITAUCARD S.A.
39,BANCO ITAÚ CONSIGNADO S.A.
40,BANCO ITAUBANK S.A.
41,ITAÚ UNIBANCO HOLDING S.A.
42,BANCO ITAÚ VEÍCULOS S.A.
43,BANCO BRASILEIRO DE CRÉDITO SOCIEDADE ANÔNIMA
44,BANCO FATOR S.A.
45,BANCO MORGAN STANLEY S.A.
46,CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A
47,BANCO KDB DO BRASIL S.A.
48,BANCO GENIAL S.A.
49,BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.
50,DEUTSCHE BANK S.A. - BANCO ALEMAO
51,BANCO CRÉDIT AGRICOLE BRASIL S.A.
52,BANCO BOCOM BBM S.A.
53,ICBC DO BRASIL BANCO MÚLTIPLO S.A.
54,BCV - BANCO DE CRÉDITO E VAREJO S.A.
55,BANCO J.P. MORGAN S.A.
56,GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.
57,DEUTSCHE SPARKASSEN LEASING DO BRASIL BANCO MÚLTIPLO S.A.
58,BANCO CREDIT SUISSE (BRASIL) S.A.
59,BANCO INTER S.A.
60,BANCO LETSBANK S.A.
61,BANCO FIBRA S.A.
62,BANCO VOITER S.A.
63,BANCO CIFRA S.A.
64,BANCO BNP PARIBAS BRASIL S.A.
65,BANCO INBURSA S.A.
