index,CNPJ,SEQUENCIALDOCNPJ,DVDOCNPJ,NOMEINSTITUIÇÃO,SEGMENTO,CÓDCOMPEAG,NOMEAGÊNCIA,ENDEREÇO,NÚMERO,COMPLEMENTO,BAIRRO,CEP,MUNICíPIO,UF,DATAINÍCIO,DDD,FONE,IDINSTALAÇÃO,MUNICIPIOIBGE,LATITUDE,LONGITUDE,LATITUDE_v2,LONGITUDE_v2
2,00.000.208,94,0,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,163,AGÊNCIA CAESB ÁGUAS CLARAS                                  ,"AV. SIBIPIRUNA, LOTES 13,15,17 E 21",          ,                                                  ,ÁGUASCLARAS,00000-000,BRASILIA(AGUASCLARAS),DF,2013-02-09 00:00:00,61,343531100,9999370114,5300108,,,,
3,00.000.208,95,90,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,198,AGÊNCIA CAESB SIA                                           ,"SIA - SETOR INDÚSTRIA ABASTECIMENTO, ÁRE",          ,                                                  ,GUARÁ,00000-000,BRASILIA(GUARA),DF,2013-02-09 00:00:00,61,323476700,9999370111,5300108,,,,
7,1023570,11,31,BANCO RABOBANK INTERNATIONAL BRASIL S.A.,Banco Múltiplo,113,AG. BRASILIA                                                ,"QS 03 - EPCT LOTES 03, 05, 07 E 09",          ,"15º ANDAR  (SALAS 1501, 1503, 1505 E 1507)        ",TAGUATINGASUL,00000-000,BRASILIA,DF,2007-01-10 00:00:00,11,55037000,9999676165,5300108,,,,
8,1023570,12,12,BANCO RABOBANK INTERNATIONAL BRASIL S.A.,Banco Múltiplo,121,AG. BARREIRAS                                               ,RUA SÃO SEBASTIÃO,421,QD 52 LT. P/04                                    ,BARREIRINHAS,00000-000,BARREIRAS,BA,19/10/2007 ,11,55037000,9999673093,2903201,,,,
11,30306294,13,89,BANCO BTG PACTUAL S.A.,Banco Múltiplo,20,SÃO PAULO                                                   ,AV. BRIGADEIRO FARIA LIMA,3477,9º ANDAR                                          ,ITAIMBIBI,00000-000,SAOPAULO,SP,27/11/2019 ,11,3383,9999153916,3550308,,,,
12,30306294,17,2,BANCO BTG PACTUAL S.A.,Banco Múltiplo,27,NVIO BRASIL SERVIÇOS DE PAGAMENTOS LTDA                     ,AV. BRIGADEIRO FARIA LIMA,3477,                                                  ,,00000-000,SAOPAULO,SP,17/11/2020 ,11,33832000,9999119427,3550308,,,,
13,30306294,18,93,BANCO BTG PACTUAL S.A.,Banco Múltiplo,55,AQUICARD                                                    ,AV. BRIGADEIRO FARIA LIMA,3477,                                                  ,,00000-000,SAOPAULO,SP,17/11/2020 ,11,33832000,9999119434,3550308,,,,
14,30306294,19,74,BANCO BTG PACTUAL S.A.,Banco Múltiplo,99,GEMINI                                                      ,AV. BRIGADEIRO FARIA LIMA,3477,                                                  ,,00000-000,SAOPAULO,SP,17/11/2020 ,11,33832000,9999119436,3550308,,,,
15,30306294,21,99,BANCO BTG PACTUAL S.A.,Banco Múltiplo,70,BANCO BTG PACTUAL S.A. ZOOM                                 ,AV BRIG FARIA LIMA,3477,ANDAR 14 SALA 133                                 ,,00000-000,SAOPAULO,SP,2021-03-05 00:00:00,11,3383,9999090136,3550308,,,,
16,30306294,22,70,BANCO BTG PACTUAL S.A.,Banco Múltiplo,80,BANCO BTG PACTUAL S.A. AGENCIA BUSCAPE                      ,AV BRIG FARIA LIMA,3477,ANDAR 14 SALA 134                                 ,,00000-000,SAOPAULO,SP,2021-03-05 00:00:00,11,3383,9999090137,3550308,,,,
17,30306294,27,84,BANCO BTG PACTUAL S.A.,Banco Múltiplo,7,AGÊNCIA - RIBEIRÃO PRETO                                    ,RUA PASCOAL BARDARO,1075,                                                  ,,00000-000,RIBEIRAOPRETO,SP,24/01/2023 ,11,33832000,9998983405,3543402,,,,
18,33479023,98,2,BANCO CITIBANK S.A.,Banco Múltiplo,67,ALPHAVILLE                                                  ,"ALAMEDA RIO NEGRO, Nº 585",          ,EDIFÍCIO JAÇARI - BLOCO A - LOJA 02               ,,00000-000,BARUERI,SP,17/08/2004 ,11,55761134,9999833141,3505708,,,,
19,33479023,101,42,BANCO CITIBANK S.A.,Banco Múltiplo,91,LAGO SUL                                                    ,SHI/SUL QI 11 BLOCO K,          ,LOJA 5                                            ,,00000-000,BRASILIA,DF,2004-01-12 00:00:00,11,55761134,9999809959,5300108,,,,
21,48795256,1,69,BANCO ANDBANK (BRASIL) S.A.,Banco Múltiplo,18,MATRIZ                                                      ,AVENIDA BRIGADEIRO FARIA LIMA,2179,9º ANDAR                                          ,JARDIMPAULISTANO,00000-000,SAOPAULO,SP,2010-05-07 00:00:00,11,30957070,9999559748,3550308,,,,
22,60701190,119,98,ITAÚ UNIBANCO S.A.,Banco Múltiplo,3789,PERS/JUSCELINO KUBITSCHEK                                   ,"AV. PRESIDENTE JUSCELINO KUBITSCHEK,1200",          ,                                                  ,VILANOVACONCEICAO,00000-000,SAOPAULO,SP,21/05/2001 ,11,30034828,9999970383,3550308,,,,
23,60701190,138,50,ITAÚ UNIBANCO S.A.,Banco Múltiplo,3247,TABOAO DA SERRA/CENTRO                                      ,"RUA DO TESOURO, 340",          ,                                                  ,PARQUESANTOSDUMONT,00000-000,TABOAODASERRA,SP,21/05/2001 ,11,30034828,9999970364,3552809,,,,
24,60701190,1678,15,ITAÚ UNIBANCO S.A.,Banco Múltiplo,3756,PERSONNALITE HIGIENOPOLIS                                   ,"AV. HIGIENOPOLIS, 462",          ,                                                  ,HIGIENOPOLIS,00000-000,SAOPAULO,SP,30/04/1999 ,11,30034828,9999968881,3550308,,,,
25,60701190,1687,6,ITAÚ UNIBANCO S.A.,Banco Múltiplo,3799,PERSONNALITE DIADEMA                                        ,"RUA FELIPE CAMARAO, 14",          ,                                                  ,VILACONCEICAO,00000-000,DIADEMA,SP,30/04/1999 ,11,30034828,9999968872,3513801,,,,
26,60746948,6634,99,BANCO BRADESCO S.A.,Banco Múltiplo,6595,"PRIME PRESIDENTE ANTONIO CARLOS, URB. RIO DE JANEIRO, RJ    ","AV. PRESIDENTE ANTONIO CARLOS, 615/641",          ,PAVIMENTO SUPERIOR                                ,CENTRO,00000-000,RIODEJANEIRO,RJ,29/12/2010 ,21,22403522,9999537314,3304557,,,,
27,90400888,2545,94,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,928,001-0928 AV 136-CAP-GO                                      ,"AV 136, SN",          ,QUADRA F44 LT 22                                  ,SETORSUL,00000-000,GOIANIA,GO,29/07/2010 ,62,30966150,9999558486,5208707,,,,
