,0
69005-300,-3.13526
66010-900,-1.44977
11010-908,-23.93268
28010-510,-21.75923
41745-002,-12.94577
50030-310,-8.06201
60150-162,-3.73496
80020-100,-25.43014
90010-901,-30.02846
58040-900,-7.11989
57057-972,-9.6288
79300-040,-19.00176
38010-000,-19.74792
88010-400,-27.59771
01011-100,-23.54535
45653-000,-14.80007
65020-230,-2.52998
29010-340,-20.32115
59025-900,-5.78396
64200-906,-2.9035
36010-003,-21.76114
36770-024,-21.3884
17201-010,-22.29293
14015-020,-21.1762
96010-150,-31.77071
84010-300,-25.09806
14780-070,-20.55716
37002-030,-21.55779
30160-041,-19.92338
96400-370,-31.33132
97573-565,-30.89259
59600-520,-5.19037
17010-900,-22.32232
89201-060,-26.2991
44002-272,-12.25764
96508-011,-30.04695
64000-060,-5.08932
97501-520,-29.75555
78005-300,-15.59524
20031-204,-22.91099
79002-908,-20.46421
15800-080,-21.13406
27910-362,-22.37575
13010-061,-22.90718
14400-690,-20.53717
14700-119,-20.95052
13400-340,-22.72453
15015-200,-20.81253
16400-030,-22.87938
45200-191,-13.86044
39800-013,-17.8632
36200-008,-21.20688
58400-105,-7.21686
13870-909,-21.96494
55293-905,-8.89097
56506-907,-8.41918
48903-901,-12.25492
45600-912,-14.79092
69900-058,-9.9756
24020-072,-22.89366
27123-120,-22.47093
12010-020,-23.02692
79904-672,-22.5384
18600-410,-22.73992
25629-900,-22.50897
26221-030,-22.76266
14801-310,-21.80184
29300-902,-20.84834
62011-040,-3.68982
74010-010,-16.67544
22220-001,-22.9301
35430-020,-20.42114
95020-260,-29.16931
38440-122,-18.64947
21351-040,-22.874
99010-010,-28.26005
20270-005,-22.91179
63100-901,-7.23218
89010-915,-26.91721
19010-010,-22.12226
38400-130,-18.9204
20720-012,-22.90408
76801-151,-8.76279
39400-006,-16.72079
86010-390,-23.31092
29700-070,-19.53604
65600-050,-4.86253
97010-422,-29.68094
23050-260,-22.90459
68005-080,-2.41959
27542-070,-22.46473
17600-010,-21.93627
15990-170,-21.60131
57600-025,-9.40568
98801-590,-28.30003
95900-022,-29.46129
85851-000,-25.54426
17500-090,-22.22124
97542-310,-29.78245
28905-250,-22.87902
58700-020,-7.02475
48010-110,-12.13816
55002-903,-8.29129
36307-328,-21.13475
13630-095,-21.99981
35010-390,-18.85979
12900-130,-22.95708
13970-280,-22.43626
13500-908,-22.40228
12245-030,-23.19388
35300-036,-19.79041
16010-000,-21.20578
96810-908,-29.72286
95700-110,-29.16885
93010-001,-29.76322
45000-903,-14.85051
17280-000,-22.34554
38700-001,-18.58956
18010-081,-23.50103
98010-750,-28.64921
37900-152,-20.71956
18200-100,-23.58905
88701-001,-28.48032
18700-005,-23.10322
38300-074,-18.97406
79601-050,-20.79051
38183-083,-19.59085
13480-008,-22.56469
75901-290,-17.79945
29930-010,-18.71666
19800-002,-22.66162
47800-120,-12.14787
55602-010,-8.11928
56903-910,-7.98827
21060-120,-22.85614
69301-250,2.81923
64600-082,-7.08224
20061-000,-22.9028
83203-330,-25.51885
68900-090,0.03506
27213-320,-22.50966
09010-160,-23.66304
20940-000,-22.82152
15500-004,-20.41901
14870-325,-21.2561
16901-006,-20.8962
22250-040,-22.94463
20520-051,-22.93224
22070-012,-22.96651
17400-084,-22.20618
35660-630,-19.8643
08710-500,-23.52503
13560-648,-22.01764
21810-012,-22.88115
05072-000,-23.52255
03606-010,-23.52061
85010-100,-25.39367
04046-000,-23.60799
04203-050,-23.58047
03002-000,-23.54449
88301-041,-26.9068
12501-410,-22.81675
88501-020,-27.81497
37500-034,-22.42349
37701-000,-21.78834
75701-300,-18.16916
75800-012,-17.89667
93510-120,-29.68246
25802-180,-22.11518
13465-490,-22.73831
89802-000,-27.09784
09510-030,-23.61393
75024-070,-16.30855
50010-360,-8.06412
17580-057,-22.10748
25010-009,-22.79049
69151-030,-2.63111
28610-160,-22.28232
13201-026,-23.18716
13600-905,-22.35798
40060-000,-12.97773
16200-053,-21.29063
87013-180,-23.4253
13300-906,-23.26375
86800-700,-23.55237
86701-000,-23.41001
35170-041,-19.47666
90220-006,-30.00896
35500-006,-20.14301
75503-260,-18.41923
73801-010,-15.53663
19900-081,-22.979
87704-010,-23.0792
01205-001,-23.53948
03118-000,-23.5592
05422-002,-23.56694
02011-300,-23.48579
04752-010,-23.65234
79801-015,-22.22913
20031-010,-22.9111
24445-300,-22.81658
35700-024,-19.46268
88350-360,-27.09769
89251-150,-26.48071
87300-390,-24.04162
88801-500,-28.67477
15700-022,-20.2666
13730-040,-21.46616
12940-670,-23.11574
35680-054,-20.07401
09725-620,-23.70395
63010-215,-7.20219
20091-007,-22.89965
01029-001,-23.53969
12701-350,-22.57506
70070-110,-15.79997
13900-005,-22.70218
13450-010,-22.75623
23900-565,-23.00918
