,0
06550-000,-23.3869813
06700-000,-23.6200095
06730-000,-23.6295508
06890-000,-23.8577516
06900-000,-23.8556546
06950-000,-23.9373124
07400-000,-23.3374337
07500-000,-23.2618673
07600-000,-23.2920686
07700-000,-23.3711864
07750-000,-23.372338
07760-000,40.3701706
08510-030,40.18992739999999
08900-000,-23.4347967
08940-000,-23.6363102
08970-000,-23.5822524
09450-000,-23.7327184
11250-000,-23.7756028
11600-000,-23.7736998
11630-000,-23.8436536
11680-000,-23.371399
11730-000,-24.068741
11740-000,-24.0860329
11750-000,-24.2290797
11760-000,-24.3080947
11800-000,-24.2021061
11850-000,-24.1465216
11900-000,-24.4873849
11910-000,-24.3093756
11920-000,-24.5082407
11930-000,-24.6814278
11940-000,-24.6457383
11950-000,-24.7772805
11955-000,-24.8584178
11960-000,-24.4672235
11990-000,-25.0325619
12120-000,-22.989782
12140-000,-23.2157288
12170-000,-23.2481206
12250-000,-22.9511181
12260-000,-23.5011273
12300-000,-23.3251044
12380-000,-23.4310812
12400-000,-22.8840393
12450-000,-22.8614253
12460-000,-22.7210067
12490-000,-22.7106131
12525-000,-22.825966
12530-000,-23.0360678
12570-000,-22.9276473
12580-000,-22.9416078
12620-000,-22.601206
12630-000,-22.6979746
12690-000,-22.7389718
12700-000,-22.5766871
12800-000,-22.5019755
12850-000,-22.7473844
12955-000,-23.1770273
12960-000,-23.1753772
12970-000,-23.0349657
12980-000,-22.9326973
12995-000,-22.7844733
13140-000,-22.7496958
13150-000,-22.6475546
13160-000,-22.5452406
13190-000,-22.9548795
13200-000,-23.2060231
13240-000,-23.1036632
13260-000,-22.8877661
13280-000,-23.0422694
13290-000,-23.0931156
13295-000,-23.145228
13300-000,-23.4299665
13315-000,-23.2984641
13318-000,-23.2611694
13350-000,-23.0830997
13360-000,-22.9682227
13370-000,-23.051921
13390-000,-22.8529346
13440-000,-22.872197
13460-000,-22.7884536
13465-000,-22.729524
13490-000,-22.4939375
13495-000,-22.5899119
13510-000,-22.4936308
13515-000,-22.5185625
13520-000,-22.5302548
13525-000,-22.6015864
13530-000,-22.2481419
13537-000,-22.4287775
13540-000,-22.2494257
13580-000,-22.0634763
13590-000,-22.1261969
13625-000,-22.1222006
13650-000,-21.8551861
13660-000,-21.8407582
13670-000,-21.6865018
13690-000,-21.8898802
13700-000,-21.7923581
13710-000,-21.6123347
13715-000,-21.7552725
13720-000,-21.6411471
13760-000,-21.4385663
13770-000,-21.5411436
13780-000,-21.680267
13790-000,-21.7433876
13820-000,-22.7008098
13825-000,-22.6345114
13830-000,-22.6086849
13835-000,-22.3664524
13840-000,-22.3163404
13857-000,-22.2327091
13860-000,-22.0604521
13870-000,-21.977819
13880-000,-21.8698286
13910-000,-22.6961796
13920-000,-22.7485717
13930-000,-22.5947659
13940-000,-22.4799924
13950-000,-22.5183766
13960-000,-22.6066321
13990-000,-22.1755019
13995-000,-22.1373636
14110-000,-21.276215
14140-000,-21.3238278
14150-000,-21.2105166
14180-000,-20.9827531
14200-000,-21.4805366
14210-000,-21.6065217
14230-000,-21.3015197
14240-000,-21.3303726
14270-000,-21.509014
14300-000,-20.865971
14340-000,-21.0567868
14350-000,-21.0480414
14415-000,-20.7188492
14430-000,-20.6371373
14440-000,-20.5959568
14460-000,-20.3586965
14470-000,-20.2290521
14490-000,-20.0710428
14500-000,-20.3223884
14530-000,-20.2382213
14540-000,-20.0706703
14550-000,-20.1553252
14570-000,-20.1973069
14580-000,-20.4894632
14600-000,-20.5765357
14610-000,-20.4174035
14620-000,-20.7171732
14640-000,-20.6974477
14660-000,-20.8208362
14670-000,-20.7082891
14680-000,-20.961592
14725-000,-21.1389434
14730-000,-20.8890637
14735-000,-20.782319
14740-000,-20.8740173
14745-000,-20.7697246
14750-000,-21.0035209
14770-000,-20.7626672
14775-000,-20.6383449
14790-000,-20.3200638
14795-000,-20.2679454
14815-000,-21.9497383
14820-000,-21.7300823
14825-000,-21.6649861
14830-000,-21.6018957
14840-000,-21.3919119
14850-000,-21.3556749
14860-000,-21.2397333
14900-000,-21.5592636
14910-000,-21.7069692
14920-000,-21.7604164
14930-000,-21.9046866
14940-000,-21.7931642
14955-000,-21.6313458
14960-000,-21.4682523
14980-000,-21.3588145
14990-000,-21.2705438
15105-000,-21.1001256
15110-000,-20.7427838
15115-000,-20.9228079
15120-000,-20.8815353
15130-000,-20.8353376
15140-000,-20.6900957
15145-000,-20.5888227
15150-000,-20.7359953
15160-000,-20.7703838
15170-000,-20.5422693
15180-000,-20.6359179
15190-000,-20.6700393
15200-000,-21.0595613
15210-000,-21.0705383
15220-000,-21.1998994
15230-000,-21.2743115
15250-000,-20.8928965
15270-000,-20.8441109
15275-000,-20.8657686
