,0
69005-300,-60.02292
66010-900,-48.49781
11010-908,-46.32793
28010-510,-41.32279
41745-002,-38.43055
50030-310,-34.87515
60150-162,-38.50226
80020-100,-49.27177
90010-901,-51.22891
58040-900,-34.85637
57057-972,-35.73787
79300-040,-57.65716
38010-000,-47.93636
88010-400,-48.54966
01011-100,-46.63469
45653-000,-39.03335
65020-230,-44.29475
29010-340,-40.33454
59025-900,-35.20604
64200-906,-41.77947
36010-003,-43.3488
36770-024,-42.69493
17201-010,-48.5579
14015-020,-47.80658
96010-150,-52.34114
84010-300,-50.16008
14780-070,-48.56952
37002-030,-45.43978
30160-041,-43.93979
96400-370,-54.10239
97573-565,-55.5338
59600-520,-37.34493
17010-900,-49.07529
89201-060,-48.84512
44002-272,-38.96807
96508-011,-52.89266
64000-060,-42.81104
97501-520,-57.08925
78005-300,-56.09603
20031-204,-43.17704
79002-908,-54.61535
15800-080,-48.97211
27910-362,-41.77736
13010-061,-47.06266
14400-690,-47.4006
14700-119,-48.47922
13400-340,-47.64844
15015-200,-49.38087
16400-030,-48.43423
45200-191,-40.08281
39800-013,-41.50877
36200-008,-43.77279
58400-105,-35.88517
13870-909,-46.79828
55293-905,-36.49443
56506-907,-37.05782
48903-901,-38.95995
45600-912,-39.27426
69900-058,-67.80956
24020-072,-43.1172
27123-120,-43.82667
12010-020,-45.55519
79904-672,-55.7275
18600-410,-47.3296
25629-900,-43.1715
26221-030,-43.4419
14801-310,-48.17432
29300-902,-41.11266
62011-040,-40.35094
74010-010,-49.25782
22220-001,-43.17761
35430-020,-42.91046
95020-260,-51.17865
38440-122,-48.19345
21351-040,-43.33912
99010-010,-52.40738
20270-005,-43.21467
63100-901,-39.41088
89010-915,-49.0679
19010-010,-51.38882
38400-130,-48.27933
20720-012,-43.28524
76801-151,-63.9046
39400-006,-43.86682
86010-390,-51.16026
29700-070,-40.63052
65600-050,-43.36116
97010-422,-53.80879
23050-260,-43.56305
68005-080,-54.71258
27542-070,-44.44781
17600-010,-50.51327
15990-170,-48.36438
57600-025,-36.63051
98801-590,-54.2655
95900-022,-51.96631
85851-000,-54.58641
17500-090,-49.95092
97542-310,-55.79324
28905-250,-42.01889
58700-020,-37.27772
48010-110,-38.42454
55002-903,-35.96692
36307-328,-44.25899
13630-095,-47.42722
35010-390,-41.97297
12900-130,-46.54187
13970-280,-46.82114
13500-908,-47.58559
12245-030,-45.88546
35300-036,-42.14034
16010-000,-50.43889
96810-908,-52.42587
95700-110,-51.5174
93010-001,-51.14647
45000-903,-40.84356
17280-000,-48.78207
38700-001,-46.51493
18010-081,-47.45332
98010-750,-53.60512
37900-152,-46.60711
18200-100,-48.05239
88701-001,-49.00206
18700-005,-48.92384
38300-074,-49.46369
79601-050,-51.70814
38183-083,-46.93916
13480-008,-47.40188
75901-290,-50.93191
29930-010,-39.85589
19800-002,-50.41259
47800-120,-44.99922
55602-010,-35.29599
56903-910,-38.29724
21060-120,-43.26326
69301-250,-60.67686
64600-082,-41.4682
20061-000,-43.17887
83203-330,-48.50652
68900-090,-51.04993
27213-320,-44.09304
09010-160,-46.52289
20940-000,-43.34474
15500-004,-49.97503
14870-325,-48.31937
16901-006,-51.38092
22250-040,-43.18122
20520-051,-43.2403
22070-012,-43.17928
17400-084,-49.65325
35660-630,-44.60522
08710-500,-46.20032
13560-648,-47.89801
21810-012,-43.4648
05072-000,-46.70411
03606-010,-46.54656
85010-100,-51.46514
04046-000,-46.63779
04203-050,-46.60802
03002-000,-46.61912
88301-041,-48.65728
12501-410,-45.19522
88501-020,-50.33183
37500-034,-45.4533
37701-000,-46.56625
75701-300,-47.94197
75800-012,-51.72026
93510-120,-51.12797
25802-180,-43.20841
13465-490,-47.33721
89802-000,-52.61632
09510-030,-46.57155
75024-070,-48.93899
50010-360,-34.87853
17580-057,-50.17626
25010-009,-43.30996
69151-030,-56.7331
28610-160,-42.53106
13201-026,-46.88424
13600-905,-47.38365
40060-000,-38.51451
16200-053,-50.34405
87013-180,-51.94013
13300-906,-47.29876
86800-700,-51.46097
86701-000,-51.43762
35170-041,-42.62022
90220-006,-51.20202
35500-006,-44.89199
75503-260,-49.21639
73801-010,-47.33699
19900-081,-49.8705
87704-010,-52.45961
01205-001,-46.64014
03118-000,-46.59761
05422-002,-46.68595
02011-300,-46.62847
04752-010,-46.70782
79801-015,-54.81232
20031-010,-43.17631
24445-300,-43.02831
35700-024,-44.24457
88350-360,-48.91945
89251-150,-49.0816
87300-390,-52.37687
88801-500,-49.37205
15700-022,-50.55067
13730-040,-47.00139
12940-670,-46.55582
35680-054,-44.57686
09725-620,-46.55334
63010-215,-39.31728
20091-007,-43.17881
01029-001,-46.63288
12701-350,-44.96094
70070-110,-47.88247
13900-005,-46.76737
13450-010,-47.41546
23900-565,-44.31874
27330-040,-44.16932
20755-180,-43.29934
29900-030,-40.06288
92010-300,-51.17999
