,0
06550-000,-46.9999471
06700-000,-46.96187339999999
06730-000,-47.0096682
06890-000,-46.9222445
06900-000,-46.805914
06950-000,-47.0972424
07400-000,-46.3072047
07500-000,-46.2474381
07600-000,-46.5547852
07700-000,-46.7575221
07750-000,-46.8446611
07760-000,-73.99475629999999
08510-030,-74.41738769999999
08900-000,-46.0372508
08940-000,-46.01818799999999
08970-000,-45.8659561
09450-000,-46.3720666
11250-000,-46.0372508
11600-000,-45.506339
11630-000,-45.3369459
11680-000,-45.0186548
11730-000,-46.6512239
11740-000,-46.8640458
11750-000,-46.9999471
11760-000,-47.11672369999999
11800-000,-47.6455169
11850-000,-47.3706554
11900-000,-47.8032284
11910-000,-47.9614096
11920-000,-47.5275422
11930-000,-47.8624914
11940-000,-48.0406759
11950-000,-48.19955909999999
11955-000,-48.4387577
11960-000,-48.19955909999999
11990-000,-48.0406759
12120-000,-45.5432082
12140-000,-45.2618568
12170-000,-45.5629394
12250-000,-45.79002089999999
12260-000,-45.6385125
12300-000,-45.9167102
12380-000,-45.8659561
12400-000,-45.5460612
12450-000,-45.6952715
12460-000,-45.5629394
12490-000,-45.6952715
12525-000,-45.31346749999999
12530-000,-44.92533539999999
12570-000,-45.2431035
12580-000,-45.3087733
12620-000,-45.168166
12630-000,-44.98134520000001
12690-000,-44.813111
12700-000,-44.945281
12800-000,-44.7943804
12850-000,-44.3614875
12955-000,-46.4970116
12960-000,-46.38166649999999
12970-000,-46.3049196
12980-000,-46.2282927
12995-000,-46.574058
13140-000,-47.1557087
13150-000,-47.1947232
13160-000,-47.11672369999999
13190-000,-47.3119448
13200-000,-46.92313619999999
13240-000,-46.7285093
13260-000,-46.7671967
13280-000,-46.9707947
13290-000,-46.9513691
13295-000,-47.0777685
13300-000,-47.3342837
13315-000,-47.0777685
13318-000,-47.0510573
13350-000,-47.3510778
13360-000,-47.4686543
13370-000,-47.5766661
13390-000,-47.58649639999999
13440-000,-47.7341718
13460-000,-47.3021661
13465-000,-47.31506890000001
13490-000,-47.4294326
13495-000,-47.5177229
13510-000,-47.5471862
13515-000,-47.7440315
13520-000,-47.9614096
13525-000,-47.8748462
13530-000,-47.8032284
13537-000,-47.7046036
13540-000,-47.625836
13580-000,-48.19955909999999
13590-000,-48.33896439999999
13625-000,-47.4686543
13650-000,-47.2337675
13660-000,-47.4294326
13670-000,-47.4882762
13690-000,-47.6455169
13700-000,-47.0972424
13710-000,-47.2533007
13715-000,-46.9222445
13720-000,-46.8640458
13760-000,-46.7671967
13770-000,-46.612626
13780-000,-46.6898516
13790-000,-46.7671967
13820-000,-46.7027341
13825-000,-47.0680343
13830-000,-46.9610809
13835-000,-47.1557087
13840-000,-46.91358169999999
13857-000,-46.9513691
13860-000,-47.0388429
13870-000,-46.74387309999999
13880-000,-46.9222445
13910-000,-46.6512239
13920-000,-46.8931368
13930-000,-46.6898516
13940-000,-46.60298119999999
13950-000,-46.660878
13960-000,-46.5547852
13990-000,-46.805914
13995-000,-46.6898516
14110-000,-47.81342739999999
14140-000,-47.7440315
14150-000,-47.625836
14180-000,-48.0563942
14200-000,-47.5668376
14210-000,-47.7243139
14230-000,-47.5471862
14240-000,-47.33150759999999
14270-000,-47.3510778
14300-000,-47.5668376
14340-000,-47.625836
14350-000,-47.4098328
14415-000,-47.2728413
14430-000,-47.5079055
14440-000,-47.625836
14460-000,-47.4098328
14470-000,-47.4882762
14490-000,-47.4392352
14500-000,-47.8032284
14530-000,-48.0406759
14540-000,-47.66520509999999
14550-000,-47.8229754
14570-000,-47.7046036
14580-000,-47.7834888
14600-000,-47.8822604
14610-000,-48.0605108
14620-000,-47.9020367
14640-000,-48.1597946
14660-000,-47.8624914
14670-000,-47.7440315
14680-000,-47.8822604
14725-000,-48.5387323
14730-000,-48.6790007
14735-000,-48.7794089
14740-000,-48.299098
14745-000,-48.33896439999999
14750-000,-48.2791757
14770-000,-48.5787728
14775-000,-48.4187846
14790-000,-48.312419
14795-000,-48.6790007
14815-000,-48.0208484
14820-000,-48.0605108
14825-000,-48.1002024
14830-000,-48.0208484
14840-000,-48.2194523
14850-000,-48.1002024
14860-000,-48.1002024
14900-000,-48.8397403
14910-000,-48.6188423
14920-000,-48.5387323
14930-000,-48.4387577
14940-000,-48.8397403
14955-000,-49.0817124
14960-000,-49.3247147
14980-000,-49.4872858
14990-000,-49.3856256
15105-000,-49.4059435
15110-000,-49.1828385
15115-000,-49.4364335
15120-000,-49.67072049999999
15130-000,-49.5076392
15140-000,-49.5483671
15145-000,-49.4669396
15150-000,-49.7115614
15160-000,-49.83425339999999
15170-000,-49.6503106
15180-000,-49.91618860000001
15190-000,-50.0393017
15200-000,-49.8137871
15210-000,-49.5076392
15220-000,-49.5483671
15230-000,-49.67072049999999
15250-000,-49.8854497
15270-000,-49.9571983
15275-000,-50.07011929999999
15290-000,-50.20384379999999
15300-000,-50.4101474
15310-000,-50.2244429
15330-000,-50.20384379999999
15340-000,-50.2553546
15350-000,-50.5549719
15360-000,-50.8872648
15370-000,-51.1376317
15385-000,-51.3050851
15400-000,-48.9202828
15410-000,-48.8196226
15420-000,-49.0211225
15425-000,-48.84980179999999
15430-000,-49.0817124
15440-000,-49.3247147
15450-000,-49.2638678
15460-000,-49.1625989
15470-000,-49.4872858
15480-000,-49.34501119999999
15490-000,-49.4669396
15495-000,-49.7319925
15520-000,-50.0803953
15530-000,-49.7319925
15540-000,-49.91618860000001
15550-000,-49.7524306
15570-000,-49.9777136
15600-000,-50.2862819
15650-000,-50.4101474
15670-000,-50.534262
15685-000,-50.4101474
15690-000,-50.2450489
15720-000,-50.7416707
15735-000,-50.9080913
15745-000,-50.60677680000001
15750-000,-50.7416707
15760-000,-50.6586247
15775-000,-50.9497647
15780-000,-50.8248263
15800-000,-49.0000898
15820-000,-48.6589406
15825-000,-48.7794089
15828-000,-48.8296806
15830-000,-48.9001364
15840-000,-49.0009403
15850-000,-49.2435998
15860-000,-49.22333889999999
15870-000,-49.0615086
15880-000,-49.0211225
15890-000,-49.1423666
15895-000,-49.3044253
15900-000,-48.5187229
15910-000,-48.5387323
15930-000,-48.6288642
15940-000,-48.6990679
15950-000,-48.8397403
15960-000,-48.7794089
15970-000,-48.37886
16210-000,-50.4928628
16220-000,-50.5756887
16230-000,-50.6586247
16240-000,-50.4928628
16250-000,-50.4514913
16300-000,-50.059845
16340-000,-50.3688312
16360-000,-49.9571983
16370-000,-49.8137871
16430-000,-49.7524306
16440-000,-49.5891233
16450-000,-50.059845
16480-000,-49.87520689999999
16500-000,-49.5687416
16600-000,-49.4872858
16660-000,-49.34501119999999
16700-000,-50.6378804
16800-000,-51.1376317
16850-000,-50.9706116
16880-000,-50.8872648
16920-000,-51.5570726
16950-000,-51.2841298
16980-000,-51.2841298
17120-000,-49.0817124
17160-000,-49.0009403
17180-000,-49.0009403
17190-000,-49.1828385
17240-000,-48.5387323
17250-000,-48.6790007
17290-000,-48.739224
17300-000,-48.3589086
17320-000,-48.4587382
17340-000,-48.5787728
17350-000,-48.5787728
17360-000,-48.1796732
17370-000,-48.1200592
17380-000,-48.1200592
17440-000,-49.67072049999999
17450-000,-49.5483671
17480-000,-49.3856256
17490-000,-49.1625989
17540-000,-49.91618860000001
17560-000,-49.8137871
17580-000,-50.1420882
17590-000,-50.2450489
17650-000,-50.3688312
17690-000,-50.7416707
17700-000,-50.9080913
17730-000,-50.8248263
17740-000,-50.700134
17780-000,-50.9914654
17800-000,-51.03319330000001
17830-000,-51.1376317
17860-000,-51.2841298
17880-000,-51.3679914
17890-000,-51.4519605
17900-000,-51.5570726
17920-000,-51.7255991
17930-000,-51.5781151
17960-000,-51.5781151
17980-000,-51.8734084
17990-000,-51.7889062
18120-000,-47.1947232
18125-000,-47.2826144
18150-000,-47.1752123
18160-000,-47.58649639999999
18170-000,-47.4098328
18180-000,-47.5668376
18185-000,-47.7243139
18190-000,-47.66520509999999
18200-000,-48.0116982
18230-000,-47.9614096
18240-000,-48.4387577
18260-000,-48.1002024
18285-000,-47.9020367
18290-000,-48.598804
18310-000,-48.5387323
18320-000,-48.8397403
18400-000,-48.81482159999999
18440-000,-49.1625989
18460-000,-49.3247147
18480-000,-49.4872858
18500-000,-47.8822604
18520-000,-47.7440315
18530-000,-47.7046036
18540-000,-47.4882762
18550-000,-47.66520509999999
18560-000,-47.625836
18570-000,-48.0406759
18590-000,-48.2592606
18640-000,-48.4187846
18650-000,-48.5187229
18660-000,-48.6990679
18670-000,-48.6589406
18690-000,-48.6388879
18710-000,-49.0817124
18720-000,-48.8397403
18730-000,-49.0009403
18740-000,-49.2435998
18760-000,-49.1625989
18770-000,-49.2638678
18775-000,-49.1019233
18780-000,-49.3044253
18800-000,-49.3247147
18870-000,-49.5076392
18890-000,-49.3856256
18900-000,-49.6359366
18935-000,-49.4262684
18950-000,-49.5891233
18960-000,-49.5076392
18970-000,-49.7115614
19160-000,-51.5570726
19190-000,-51.3679914
19200-000,-51.6202201
19210-000,-51.6202201
19220-000,-51.5360368
19260-000,-51.9791849
19274-000,-52.9484648
19280-000,-52.4039296
19300-000,-51.5570726
19360-000,-51.7466948
19400-000,-51.81002179999999
19450-000,-51.95801640000001
19470-000,-52.2337184
19500-000,-51.1376317
19530-000,-51.2422395
19560-000,-51.27365469999999
19570-000,-51.2841298
19590-000,-51.3889736
19600-000,-50.9706116
19640-000,-51.0540674
19700-000,-50.6378804
19740-000,-50.50321
19770-000,-50.2450489
19780-000,-50.6378804
19800-000,-50.2794024
19820-000,-50.6171429
19830-000,-50.2244429
19840-000,-50.7416707
19860-000,-50.7832348
19865-000,-50.7832348
19870-000,-50.700134
19880-000,-50.3894858
19920-000,-49.9571983
19940-000,-50.0803953
19970-000,-50.2244429
23860-000,-44.03895540000001
23890-000,-43.69508039999999
23900-000,-44.5260106
23970-000,-44.7381432
24800-000,-42.8527548
24890-000,-42.7271587
24900-000,-42.8296643
25600-000,-43.1783979
25780-000,-42.9222315
25845-000,-43.1165621
25850-000,-43.2908233
25870-000,-43.2618217
25880-000,-42.82478769999999
25900-000,-43.182897
25940-000,-42.96115710000001
26600-000,-43.69508039999999
26650-000,-43.6567219
26700-000,-43.7334089
26900-000,-43.5029884
26950-000,-43.418418
27175-000,-43.9055155
27197-000,-44.0103922
27460-000,-44.0579882
27570-000,-44.3331165
27580-000,-44.5878439
27600-000,-43.8290988
27660-000,-43.59912800000001
